Nombre,Ciudad,Ingreso,Edad,Genero,Nivel educativo,Pobreza,Subsidio
Luis,Sevilla,1404,29,F,Doctorado,1,0
Maria,Sevilla,1160,53,F,Maestría,1,0
Luis,Zaragoza,4292,61,M,Doctorado,0,0
Juan,Barcelona,1116,48,M,Maestría,1,1
Carlos,Palma de Mallorca,2975,18,F,Maestría,0,1
Juan,Madrid,1973,51,F,Bachillerato,1,0
Elena,Barcelona,4435,47,F,Maestría,1,0
Jose,Sevilla,2680,33,F,Bachillerato,0,0
Laura,Málaga,2611,66,F,Maestría,0,0
Elena,Zaragoza,1897,23,F,Licenciatura,1,1
Elena,Valencia,4448,65,M,Maestría,1,0
Ana,Madrid,2159,64,F,Bachillerato,1,1
Pedro,Málaga,3845,21,M,Maestría,1,1
Ana,Las Palmas,1694,21,F,Doctorado,0,0
Luis,Las Palmas,1024,18,M,Doctorado,0,0
Ana,Zaragoza,2066,51,M,Doctorado,0,0
Maria,Las Palmas,2078,21,F,Maestría,1,1
Luis,Granada,3718,50,F,Maestría,1,0
Maria,Valencia,2550,40,F,Doctorado,0,0
Jose,Valencia,4060,32,F,Licenciatura,1,0
Laura,Las Palmas,2905,56,M,Maestría,1,0
Diego,Palma de Mallorca,4793,27,M,Licenciatura,0,0
Diego,Málaga,2953,21,F,Licenciatura,0,1
Maria,Valencia,3124,37,F,Licenciatura,1,0
Carlos,Zaragoza,3289,56,F,Licenciatura,1,0
Elena,Sevilla,4057,53,M,Doctorado,1,1
Maria,Las Palmas,1515,40,F,Licenciatura,0,1
Ana,Las Palmas,4116,54,M,Doctorado,0,0
Elena,Barcelona,2983,36,M,Bachillerato,1,0
Pedro,Palma de Mallorca,2119,54,M,Bachillerato,1,0
Jose,Valencia,1625,63,F,Bachillerato,0,1
Ana,Las Palmas,4856,26,F,Bachillerato,0,0
Pedro,Zaragoza,4677,38,F,Licenciatura,0,0
Pedro,Las Palmas,3114,45,F,Doctorado,0,1
Diego,Bilbao,3994,52,M,Doctorado,0,1
Juan,Madrid,3207,21,M,Maestría,1,0
Diego,Granada,4040,55,F,Licenciatura,0,0
Elena,Granada,2731,52,M,Doctorado,0,1
Ana,Málaga,1858,33,F,Licenciatura,1,0
Jose,Madrid,1243,47,F,Bachillerato,1,0
Luis,Palma de Mallorca,2376,64,F,Maestría,0,1
Elena,Valencia,2076,41,M,Maestría,0,1
Ana,Sevilla,1329,28,M,Doctorado,0,0
Carlos,Palma de Mallorca,2413,32,M,Doctorado,1,0
Luis,Zaragoza,4730,36,F,Bachillerato,0,0
Elena,Las Palmas,4671,21,F,Doctorado,1,1
Luis,Zaragoza,4489,34,M,Licenciatura,1,1
Maria,Zaragoza,1945,58,F,Licenciatura,0,1
Carlos,Sevilla,1953,44,M,Licenciatura,0,0
Jose,Málaga,3999,61,F,Bachillerato,1,0
Maria,Bilbao,1423,46,M,Maestría,1,1
Maria,Granada,3799,18,M,Bachillerato,1,1
Pedro,Barcelona,3638,57,M,Doctorado,0,1
Elena,Granada,2189,34,F,Licenciatura,1,1
Elena,Barcelona,1172,45,M,Bachillerato,0,1
Laura,Bilbao,1166,38,M,Licenciatura,0,1
Elena,Las Palmas,4971,31,F,Maestría,0,0
Elena,Barcelona,4324,55,F,Bachillerato,1,0
Luis,Barcelona,1711,36,M,Licenciatura,1,1
Jose,Bilbao,3701,64,M,Licenciatura,1,1
Juan,Málaga,2173,32,M,Licenciatura,0,0
Elena,Zaragoza,3808,23,F,Doctorado,0,1
Laura,Barcelona,1015,26,M,Licenciatura,1,0
Luis,Sevilla,3197,63,M,Licenciatura,0,0
Jose,Bilbao,1723,62,F,Bachillerato,1,0
Carlos,Madrid,1419,41,F,Licenciatura,0,0
Diego,Palma de Mallorca,4898,43,M,Bachillerato,1,0
Carlos,Bilbao,2810,18,F,Maestría,0,0
Luis,Palma de Mallorca,4532,22,F,Maestría,0,0
Laura,Palma de Mallorca,4077,20,F,Bachillerato,0,0
Ana,Valencia,2685,57,M,Licenciatura,0,0
Laura,Las Palmas,3618,45,M,Maestría,1,1
Pedro,Granada,1783,44,M,Licenciatura,1,0
Laura,Palma de Mallorca,4992,69,M,Doctorado,1,1
Ana,Barcelona,3486,39,F,Doctorado,0,0
Diego,Bilbao,3344,37,M,Licenciatura,1,0
Laura,Granada,3024,60,F,Licenciatura,1,1
Jose,Sevilla,3613,55,M,Doctorado,1,0
Laura,Barcelona,3285,66,F,Licenciatura,1,1
Elena,Madrid,3348,40,M,Doctorado,1,1
Jose,Palma de Mallorca,3666,48,F,Bachillerato,0,1
Maria,Málaga,1486,61,F,Doctorado,0,0
Maria,Madrid,3984,32,M,Licenciatura,1,1
Elena,Bilbao,4178,20,M,Bachillerato,0,0
Elena,Granada,4551,18,M,Doctorado,1,1
Jose,Palma de Mallorca,2153,27,M,Maestría,0,0
Ana,Granada,3988,42,F,Maestría,1,0
Juan,Bilbao,2659,69,M,Doctorado,1,0
Elena,Granada,1791,40,F,Doctorado,0,0
Elena,Zaragoza,3509,22,M,Licenciatura,1,0
Pedro,Bilbao,4149,59,F,Licenciatura,1,0
Diego,Valencia,3095,20,F,Doctorado,0,0
Jose,Zaragoza,2868,60,M,Maestría,0,0
Pedro,Granada,4852,31,F,Licenciatura,1,1
Luis,Palma de Mallorca,1926,54,M,Maestría,0,1
Luis,Palma de Mallorca,2334,43,F,Bachillerato,0,0
Maria,Madrid,4912,66,F,Licenciatura,0,0
Pedro,Málaga,1866,64,M,Bachillerato,1,1
Diego,Madrid,2816,35,M,Maestría,1,1
Laura,Zaragoza,1843,33,F,Bachillerato,1,1
Diego,Barcelona,3589,32,M,Doctorado,1,1
Elena,Bilbao,2731,60,M,Licenciatura,1,1
Carlos,Palma de Mallorca,2494,67,M,Doctorado,0,1
Jose,Las Palmas,4720,37,M,Maestría,0,0
Pedro,Palma de Mallorca,2219,65,F,Licenciatura,1,0
Elena,Sevilla,4024,45,M,Bachillerato,1,0
Carlos,Málaga,4411,18,M,Bachillerato,0,0
Jose,Las Palmas,2785,39,M,Maestría,1,0
Jose,Sevilla,4415,33,M,Doctorado,1,1
Diego,Málaga,1885,49,M,Maestría,0,0
Laura,Barcelona,1391,41,F,Licenciatura,0,0
Luis,Barcelona,4530,19,F,Bachillerato,1,1
Carlos,Las Palmas,4753,25,M,Licenciatura,1,1
Elena,Palma de Mallorca,4905,69,F,Bachillerato,1,0
Pedro,Las Palmas,1528,45,F,Maestría,1,1
Maria,Zaragoza,3125,66,F,Doctorado,1,1
Jose,Palma de Mallorca,2608,58,F,Doctorado,1,1
Carlos,Palma de Mallorca,2535,56,F,Licenciatura,0,0
Laura,Barcelona,2826,58,F,Licenciatura,1,0
Diego,Las Palmas,2557,20,F,Doctorado,1,0
Carlos,Granada,1762,44,F,Licenciatura,0,0
Jose,Madrid,3923,48,M,Maestría,0,0
Carlos,Barcelona,1870,67,F,Doctorado,0,0
Juan,Granada,4657,65,M,Maestría,0,0
Juan,Madrid,1222,69,M,Bachillerato,0,0
Maria,Sevilla,2418,51,M,Licenciatura,1,0
Elena,Barcelona,1690,51,F,Bachillerato,0,1
Jose,Palma de Mallorca,2050,52,F,Doctorado,1,0
Elena,Granada,3102,44,F,Licenciatura,1,0
Ana,Zaragoza,3635,62,F,Maestría,1,1
Maria,Málaga,1496,48,M,Bachillerato,0,1
Juan,Málaga,1876,33,F,Bachillerato,1,1
Diego,Granada,4778,38,F,Doctorado,0,0
Luis,Palma de Mallorca,2474,21,F,Bachillerato,0,0
Laura,Las Palmas,4609,21,M,Doctorado,1,1
Diego,Sevilla,3016,65,F,Doctorado,1,1
Diego,Málaga,2145,36,M,Maestría,0,0
Juan,Bilbao,1755,63,M,Doctorado,1,1
Laura,Valencia,3699,57,F,Doctorado,0,1
Laura,Las Palmas,3805,60,F,Doctorado,0,1
Maria,Barcelona,2978,54,F,Bachillerato,0,1
Elena,Valencia,2116,28,M,Licenciatura,1,1
Ana,Palma de Mallorca,1488,46,F,Maestría,0,1
Jose,Valencia,1442,33,F,Doctorado,0,0
Diego,Granada,4031,20,F,Licenciatura,1,0
Maria,Málaga,3079,54,M,Doctorado,0,0
Carlos,Sevilla,1826,18,M,Bachillerato,0,0
Luis,Valencia,2602,50,M,Doctorado,1,0
Laura,Valencia,1556,18,M,Bachillerato,1,1
Maria,Barcelona,3273,32,F,Maestría,0,0
Jose,Palma de Mallorca,3800,55,F,Bachillerato,1,1
Laura,Barcelona,2826,64,M,Bachillerato,1,0
Juan,Bilbao,4114,25,M,Maestría,0,1
Jose,Sevilla,3961,41,F,Bachillerato,1,1
Maria,Palma de Mallorca,1420,49,F,Maestría,1,0
Carlos,Las Palmas,1588,25,F,Licenciatura,1,0
Luis,Palma de Mallorca,3539,52,M,Doctorado,1,1
Juan,Sevilla,4054,49,M,Maestría,0,0
Maria,Bilbao,3097,19,M,Maestría,0,0
Jose,Palma de Mallorca,4760,41,M,Doctorado,0,0
Maria,Granada,3304,25,F,Licenciatura,1,0
Ana,Bilbao,3964,57,F,Bachillerato,1,0
Ana,Zaragoza,4525,45,F,Licenciatura,1,1
Ana,Palma de Mallorca,1820,30,F,Doctorado,1,1
Maria,Valencia,1608,28,F,Maestría,0,0
Pedro,Barcelona,2839,66,F,Bachillerato,0,1
Maria,Palma de Mallorca,3067,30,M,Maestría,1,1
Maria,Valencia,4060,26,F,Doctorado,0,0
Jose,Granada,1298,52,F,Maestría,1,1
Carlos,Valencia,2149,46,F,Doctorado,1,0
Ana,Madrid,1121,54,M,Bachillerato,1,1
Maria,Las Palmas,3927,46,M,Maestría,0,0
Carlos,Granada,1536,61,M,Licenciatura,0,1
Laura,Granada,2693,46,F,Licenciatura,1,0
Maria,Granada,3857,46,M,Maestría,1,1
Luis,Palma de Mallorca,2455,34,M,Maestría,1,0
Laura,Palma de Mallorca,2673,48,F,Bachillerato,0,0
Maria,Sevilla,1612,61,M,Doctorado,1,1
Ana,Madrid,4364,65,M,Bachillerato,0,1
Luis,Las Palmas,2975,31,M,Maestría,1,0
Carlos,Zaragoza,2885,43,M,Maestría,0,1
Maria,Barcelona,4024,67,M,Licenciatura,0,1
Jose,Las Palmas,1938,34,F,Maestría,0,1
Carlos,Zaragoza,3396,41,M,Maestría,0,0
Juan,Valencia,3301,57,M,Bachillerato,0,1
Carlos,Bilbao,4895,61,F,Maestría,1,0
Pedro,Zaragoza,2831,68,F,Licenciatura,1,0
Diego,Sevilla,2512,41,F,Licenciatura,0,1
Jose,Bilbao,4647,62,F,Bachillerato,0,0
Diego,Palma de Mallorca,4565,61,M,Licenciatura,0,0
Ana,Palma de Mallorca,1672,18,F,Bachillerato,1,0
Elena,Bilbao,3066,27,F,Licenciatura,0,0
Pedro,Palma de Mallorca,1348,59,M,Bachillerato,0,0
Diego,Las Palmas,2510,58,M,Doctorado,0,0
Elena,Zaragoza,4051,62,M,Licenciatura,1,1
Juan,Sevilla,2733,44,F,Licenciatura,0,0
Maria,Sevilla,4443,62,M,Maestría,1,1
Juan,Valencia,1756,37,M,Maestría,0,1
Luis,Zaragoza,2320,51,F,Bachillerato,0,0
Carlos,Las Palmas,2021,58,M,Licenciatura,0,1
Jose,Málaga,3718,19,M,Maestría,0,1
Laura,Granada,3921,21,M,Bachillerato,0,1
Ana,Málaga,1769,63,F,Doctorado,1,0
Maria,Zaragoza,2884,64,F,Doctorado,1,0
Jose,Valencia,2237,68,M,Bachillerato,0,1
Pedro,Granada,4788,56,M,Licenciatura,1,1
Ana,Zaragoza,3053,50,F,Bachillerato,1,0
Juan,Granada,3207,50,F,Bachillerato,1,0
Diego,Madrid,2598,60,F,Bachillerato,0,1
Ana,Málaga,4484,42,M,Licenciatura,0,1
Ana,Granada,3331,34,M,Bachillerato,0,1
Juan,Granada,1006,25,F,Bachillerato,1,0
Diego,Palma de Mallorca,4317,62,M,Maestría,0,0
Diego,Málaga,3358,29,F,Bachillerato,0,0
Jose,Málaga,1745,52,F,Maestría,1,0
Elena,Madrid,2055,34,M,Licenciatura,1,1
Luis,Zaragoza,3492,67,F,Bachillerato,1,0
Ana,Granada,1652,36,M,Bachillerato,1,0
Carlos,Valencia,3262,27,F,Bachillerato,1,1
Carlos,Zaragoza,4048,64,M,Doctorado,1,1
Diego,Zaragoza,1475,63,M,Bachillerato,0,0
Carlos,Málaga,1239,67,M,Maestría,1,0
Maria,Barcelona,4696,37,M,Bachillerato,1,1
Maria,Las Palmas,2906,50,M,Licenciatura,0,1
Laura,Barcelona,3043,48,F,Maestría,1,1
Ana,Las Palmas,4196,33,F,Bachillerato,1,0
Carlos,Valencia,1405,56,F,Bachillerato,0,1
Laura,Sevilla,1889,24,F,Licenciatura,0,0
Elena,Granada,1275,57,F,Bachillerato,1,0
Laura,Madrid,1642,31,M,Bachillerato,0,1
Juan,Madrid,1285,41,F,Maestría,1,1
Juan,Valencia,4796,57,M,Licenciatura,1,0
Ana,Zaragoza,2095,24,F,Maestría,1,1
Juan,Palma de Mallorca,4869,68,M,Maestría,0,1
Carlos,Granada,1648,50,F,Bachillerato,1,0
Pedro,Valencia,2898,63,M,Doctorado,1,0
Juan,Bilbao,2485,32,M,Bachillerato,1,0
Diego,Málaga,1663,36,F,Bachillerato,0,1
Elena,Barcelona,1412,57,F,Doctorado,1,1
Pedro,Málaga,2720,19,F,Licenciatura,0,1
Diego,Palma de Mallorca,3032,21,F,Bachillerato,1,1
Elena,Valencia,4212,26,M,Doctorado,0,1
Luis,Madrid,2339,44,F,Doctorado,0,1
Juan,Málaga,3784,18,F,Doctorado,0,0
Carlos,Barcelona,4599,56,F,Doctorado,0,0
Laura,Zaragoza,4142,34,M,Bachillerato,1,0
Carlos,Granada,1211,41,M,Doctorado,0,0
Laura,Granada,1375,39,F,Maestría,0,0
Luis,Granada,3914,37,M,Doctorado,1,1
Juan,Las Palmas,3324,39,F,Bachillerato,0,0
Laura,Palma de Mallorca,3159,67,F,Doctorado,0,0
Carlos,Sevilla,2663,48,M,Maestría,1,1
Jose,Palma de Mallorca,2236,67,M,Maestría,0,0
Maria,Barcelona,3192,44,M,Doctorado,0,1
Pedro,Las Palmas,2058,27,F,Licenciatura,1,1
Pedro,Valencia,4902,67,F,Maestría,1,1
Pedro,Sevilla,3660,54,M,Licenciatura,1,0
Laura,Valencia,2064,23,F,Maestría,1,1
Juan,Granada,4682,69,F,Licenciatura,1,0
Maria,Palma de Mallorca,4429,54,M,Maestría,0,0
Jose,Las Palmas,4085,69,M,Bachillerato,1,0
Pedro,Bilbao,4235,67,F,Bachillerato,0,1
Juan,Las Palmas,4542,27,F,Bachillerato,0,0
Pedro,Sevilla,2819,56,F,Bachillerato,0,1
Luis,Sevilla,1991,69,F,Bachillerato,1,1
Pedro,Sevilla,2183,41,M,Licenciatura,0,0
Laura,Barcelona,2339,51,M,Bachillerato,1,0
Diego,Palma de Mallorca,1362,35,M,Licenciatura,0,1
Diego,Granada,2978,39,M,Bachillerato,1,1
Juan,Palma de Mallorca,3872,65,M,Bachillerato,0,0
Ana,Barcelona,4204,40,F,Licenciatura,0,1
Jose,Barcelona,1887,26,F,Maestría,1,0
Laura,Las Palmas,2631,61,M,Bachillerato,0,1
Jose,Palma de Mallorca,1647,69,F,Licenciatura,1,1
Diego,Las Palmas,3146,62,F,Maestría,1,0
Luis,Las Palmas,2495,52,M,Doctorado,0,0
Diego,Las Palmas,2017,69,M,Licenciatura,1,0
Maria,Bilbao,3856,68,F,Licenciatura,0,1
Carlos,Sevilla,4713,21,F,Bachillerato,0,0
Carlos,Madrid,4860,56,F,Maestría,0,0
Luis,Zaragoza,3719,21,M,Maestría,0,0
Maria,Bilbao,1562,40,F,Licenciatura,0,1
Diego,Málaga,3088,36,M,Doctorado,0,1
Carlos,Las Palmas,1490,58,F,Bachillerato,0,1
Pedro,Barcelona,1722,31,M,Doctorado,1,0
Luis,Barcelona,1868,50,M,Maestría,0,0
Carlos,Barcelona,2400,30,F,Bachillerato,1,1
Maria,Bilbao,3875,64,F,Licenciatura,1,0
Laura,Madrid,3063,55,M,Maestría,1,1
Juan,Zaragoza,2522,69,F,Doctorado,0,1
